function_address	enum_name	status	detail
0040E0F0	Global_sub_0040E0F0_local_70Enum	disabled	apply=0
00411260	Global_sub_00411260_local_20Enum	disabled	apply=0
00411E50	Global_sub_00411E50_local_20Enum	disabled	apply=0
00413170	Global_sub_00413170_DAT_007f4d08Enum	disabled	apply=0
00413AF0	Global_sub_00413AF0_iVar6Enum	disabled	apply=0
0041C3F0	TLOEmbryoTy_sub_0041C3F0_uVar2Enum	disabled	apply=0
0041C5A0	Global_sub_0041C5A0_uVar1Enum	disabled	apply=0
0041DD00	Global_sub_0041DD00_uVar2Enum	disabled	apply=0
0041F630	Global_sub_0041F630_uVar3Enum	disabled	apply=0
0041F9B0	STSprGameObjC_CheckRay_param_7Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STSprGameObjC_CheckRay_param_7Enum; parameter already uses enum
00420340	STSprGameObjC_LoadActFrame_SVar4Enum	disabled	apply=0
00420340	STSprGameObjC_LoadActFrame_dVar5Enum	disabled	apply=0
00420AE0	STSprGameObjC_LoadLifeFrame_SVar4Enum	disabled	apply=0
004248D0	Global_sub_004248D0_param_5Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004248D0_param_5Enum; parameter already uses enum
004248D0	Global_sub_004248D0_param_6Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004248D0_param_6Enum; parameter already uses enum
00424E10	SubmarineTitans_Recovered_HiddenThis_AnonReceiver_00424E10_sub_00424E10_local_8cEnum	disabled	apply=0
0042B620	STAllPlayersC_GetObjPtr_param_3Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum; parameter already uses enum
00430750	Global_sub_00430750_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_00430750_param_1Enum; parameter already uses enum
00435B90	Global_sub_00435B90_param_3Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_00435B90_param_3Enum; parameter already uses enum
00436F20	STControlCommand_commandTypeState	disabled	apply=0
00436F20	STAllPlayersC_CmdToPlsObj_switch_1Enum	disabled	apply=0
0043BEB0	STAllPlayersC_GetPanelInfo_GVar6Enum	disabled	apply=0
0043BEB0	STAllPlayersC_GetPanelInfo_dVar15Enum	disabled	apply=0
0043BEB0	STAllPlayersC_GetPanelInfo_uVar9Enum	disabled	apply=0
0043E640	Global_sub_0043E640_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_0043E640_param_2Enum; parameter already uses enum
0043E780	STAllPlayersC_GetTOBJList_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STAllPlayersC_GetTOBJList_param_2Enum; parameter already uses enum
0043E9A0	Global_sub_0043E9A0_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_0043E9A0_param_2Enum; parameter already uses enum
0043EC20	Global_sub_0043EC20_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_0043EC20_param_2Enum; parameter already uses enum
0043EED0	STAllPlayersC_GetTOBJListFromDArr_param_3Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STAllPlayersC_GetTOBJListFromDArr_param_3Enum; parameter already uses enum
