function_address	expected_function	call_address	slot_offset	parameter_ordinal	expected_parameter_name	expected_parameter_storage	expected_parameter_type	expected_parameter_source	owner_type	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E318	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E362	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E3A9	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E3FD	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E447	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E48E	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E4BB	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E548	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E559	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E5A6	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E5F3	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E640	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E68D	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E6DA	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E727	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E76D	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E81F	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E83F	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E88C	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E8D9	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E926	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E973	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042E9C0	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042EA0D	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042EA5A	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042EAA0	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042E210	STAllPlayersC::RegisterObject	0042EC32	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F354	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F39F	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F3E7	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F440	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F48B	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F4D3	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F4FF	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F593	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F5A3	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F625	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F6A7	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F729	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F7AB	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F82D	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F8AF	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F931	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042FA14	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042FA33	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042FAB5	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
0042F2B0	STAllPlayersC::UnRegisterObject	0042FB37	44	4	param_4	Stack[0x10]:4	pointer:/int	DEFAULT	/STGameObjC	/SubmarineTitans/Recovered/VTables/STGameObjCVTable
