value_hex	value_decimal	known_names	handler_count	handlers
0x1	1	MESS_CONTROLCLASSTY_0001	1	0072B780 ControlClassTy::GetMessage
0x3	3	MESS_SHARED_0003	32	00430A90 STAllPlayersC::GetMessage | 0044EE30 STBoatC::GetMessage | 00497E00 STGroupBoatC::GetMessage | 004A8920 OpticClassC::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage | 00533D10 OptPanelTy::GetMessage | 005397F0 PausePanelTy::GetMessage | 0053D4D0 SAMPanelTy::GetMessage | 0053EB70 SpecPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage | 005564C0 TraksClassTy::GetMessage | 00578630 STCrabC::GetMessage | 0057BF60 STFishC::GetMessage | 0057E0A0 STDcResourcC::GetMessage | 00583270 STJellyGunC::GetMessage | 005859A0 STLBombC::GetMessage | 00588BC0 STMBombC::GetMessage | 00589C10 STOctopusC::GetMessage | 0058C760 STSatC::GetMessage | 0058D7C0 STSharkC::GetMessage | 005EA680 WaitTy::GetMessage | 005EAF10 STArtiafactC::GetMessage | 005F10D0 STManBasisC::GetMessage | 005F5F20 STColl3C::GetMessage | 005FB640 STContainerC::GetMessage | 0061D190 STLightC::GetMessage | 00621B50 STMineSetC::GetMessage | 0062E740 STRubbishC::GetMessage | 00630430 STManRuinC::GetMessage | 006406D0 STTorpC::GetMessage | 006461E0 STVolcanoC::GetMessage | 00667D90 AiFltClassTy::GetMessage
0x5	5	MESS_SHARED_0005	12	004FB060 CPanelTy::GetMessage | 0051FBA0 HelpStringTy::GetMessage | 0052DD20 PopUpTy::GetMessage | 00542F40 InterSystemC::GetMessage | 00593040 CampaignTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005B9330 MMsgTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8	8	MESS_SHARED_0008	2	0054E4F0 STPlaySystemC::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x9	9	MESS_CURSORCLASSTY_0009	1	005449B0 CursorClassTy::GetMessage
0xA	10	MESS_SYSTEMCLASSTY_000A	1	006E5F00 SystemClassTy::GetMessage
0x24	36	MESS_SHARED_0024	2	00722410 EditorClassTy::GetMessage | 0072B780 ControlClassTy::GetMessage
0x28	40	MESS_TRACKBARCLASSTY_0028	1	00725020 TrackbarClassTy::GetMessage
0x2D	45	MESS_TABCLASSTY_002D	1	00723420 TabClassTy::GetMessage
0x41	65	MESS_EDITORCLASSTY_0041	1	00722410 EditorClassTy::GetMessage
