apply	structure_path	component_offset	expected_field_name	expected_component_type	expected_comment	definition_path	proposed_field_name	signature_function_address	signature_function	target_addresses	observed_target_addresses	observed_store_sites	store_sites	indirect_call_sites	rejected_store_sites	confidence	evidence
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075DF10_01B2_1F0F9C79	4		/undefined		/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_0075DF10_01B2_1F0F9C79_0004	callback_0004				0075E000|0075E0C0	0075DECC FUN_0075de90 stores Library::DKW::JPG::FUN_0075e000 | 0075DEF3 FUN_0075de90 stores Library::DKW::JPG::FUN_0075e0c0			0075DECC FUN_0075de90 stores Library::DKW::JPG::FUN_0075e000 [no imported or recovered ABI provenance] | 0075DEF3 FUN_0075de90 stores Library::DKW::JPG::FUN_0075e0c0 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075E000, 0075E0C0], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]; concrete field type preserved
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075DF10_01B2_1F0F9C79	12		/undefined		/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_0075DF10_01B2_1F0F9C79_000C	callback_000C				0075E100|0075E260	0075DED3 FUN_0075de90 stores Library::DKW::JPG::FUN_0075e260 | 0075DEFA FUN_0075de90 stores Library::DKW::JPG::FUN_0075e100			0075DED3 FUN_0075de90 stores Library::DKW::JPG::FUN_0075e260 [no imported or recovered ABI provenance] | 0075DEFA FUN_0075de90 stores Library::DKW::JPG::FUN_0075e100 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075E100, 0075E260], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]; concrete field type preserved
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	0	field_0000	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_0000	callback_0000				00759190	00757E76 FUN_00757e60 stores Library::DKW::JPG::FUN_00759190			00757E76 FUN_00757e60 stores Library::DKW::JPG::FUN_00759190 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00759190], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	4	field_0004	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_0004	callback_0004				00758170	00757E82 FUN_00757e60 stores Library::DKW::JPG::FUN_00758170			00757E82 FUN_00757e60 stores Library::DKW::JPG::FUN_00758170 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00758170], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	8	field_0008	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_0008	callback_0008				00759120	00757E8F FUN_00757e60 stores Library::DKW::JPG::FUN_00759120			00757E8F FUN_00757e60 stores Library::DKW::JPG::FUN_00759120 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00759120], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	12	field_000C	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_000C	callback_000C				00758100	00757E9C FUN_00757e60 stores Library::DKW::JPG::FUN_00758100			00757E9C FUN_00757e60 stores Library::DKW::JPG::FUN_00758100 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00758100], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	16	field_0010	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_0010	callback_0010				00757EF0	00757EC5 FUN_00757e60 stores Library::DKW::JPG::FUN_00757ef0			00757EC5 FUN_00757e60 stores Library::DKW::JPG::FUN_00757ef0 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00757EF0], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16	72	field_0048	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16_0048	callback_0048				00758010	00757ED2 FUN_00757e60 stores Library::DKW::JPG::FUN_00758010			00757ED2 FUN_00757e60 stores Library::DKW::JPG::FUN_00758010 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00758010], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4	4	field_0004	/undefined4	[STPointerShapeApplier] evidence_count=1; fixed-offset dereference; observed_types={/undefined4=2, pointer:/undefined1=1}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonShape_007550C0_25940DF4_0004	callback_0004	00673160	FUN_00673160	00673160	00673110|00673160	00755121 FUN_007550c0 stores thunk_FUN_00673110 | 00755139 FUN_007550c0 stores thunk_FUN_00673160	00755139 FUN_007550c0 stores thunk_FUN_00673160		00755121 FUN_007550c0 stores thunk_FUN_00673110 [no imported or recovered ABI provenance]	review	stores=1, calls=0, targets=[00673160], observed_targets=[00673110, 00673160], signatures=[__cdecl;/int;pointer:/char;pointer:/char], call_argument_counts=[]; incomplete chain
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4	8	field_0008	/undefined4	[STPointerShapeApplier] evidence_count=1; fixed-offset dereference; observed_types={/undefined4=3}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonShape_007550C0_25940DF4_0008	callback_0008				00757430	00755128 FUN_007550c0 stores FUN_00757430 | 00755140 FUN_007550c0 stores FUN_00757430			00755128 FUN_007550c0 stores FUN_00757430 [no imported or recovered ABI provenance] | 00755140 FUN_007550c0 stores FUN_00757430 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00757430], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
