function_address	target	status	detail
0040C080	parameter:2	disabled	repair row; use STPrototypeRepairAnalyzer/Applier first
00413170	parameter:4	disabled	apply flags are 0
00416270	parameter:1	disabled	apply flags are 0
00419CF0	parameter:1	disabled	apply flags are 0
00423D80	parameter:1	disabled	repair row; use STPrototypeRepairAnalyzer/Applier first
004354E0	parameter:2	disabled	apply flags are 0
004354E0	parameter:3	disabled	apply flags are 0
00435930	parameter:1	disabled	apply flags are 0
004407A0	parameter:1	disabled	apply flags are 0
004407A0	parameter:2	disabled	apply flags are 0
00443F30	return:	disabled	apply flags are 0
0044CD20	parameter:1	disabled	repair row; use STPrototypeRepairAnalyzer/Applier first
004803D0	parameter:1	disabled	apply flags are 0
004838E0	parameter:1	disabled	apply flags are 0
00483E30	parameter:1	disabled	apply flags are 0
00490B30	parameter:1	disabled	apply flags are 0
00497370	parameter:4	disabled	apply flags are 0
00498D20	parameter:2	disabled	apply flags are 0
004AF080	parameter:7	disabled	apply flags are 0
004B2520	parameter:7	disabled	apply flags are 0
004B7140	parameter:0	disabled	apply flags are 0
004B9BB0	parameter:3	disabled	apply flags are 0
004C56B0	parameter:1	disabled	apply flags are 0
004C7260	parameter:3	disabled	apply flags are 0
004C7260	parameter:4	disabled	apply flags are 0
004C7260	parameter:6	disabled	apply flags are 0
004D7480	parameter:2	disabled	apply flags are 0
004E20D0	parameter:4	disabled	apply flags are 0
004E9650	parameter:3	disabled	apply flags are 0
004E9960	parameter:1	disabled	apply flags are 0
004E9960	parameter:2	disabled	apply flags are 0
004E9960	parameter:3	disabled	apply flags are 0
004EA460	parameter:2	disabled	apply flags are 0
005260B0	parameter:1	disabled	apply flags are 0
0054EEE0	parameter:1	disabled	apply flags are 0
00555FE0	return:	disabled	apply flags are 0
005582A0	return:	disabled	apply flags are 0
00559110	parameter:4	disabled	apply flags are 0
0055BB00	parameter:7	disabled	apply flags are 0
00566E70	parameter:1	disabled	apply flags are 0
0057B990	parameter:4	disabled	apply flags are 0
0057D5F0	parameter:1	disabled	apply flags are 0
00580FF0	parameter:1	disabled	apply flags are 0
00582460	parameter:1	disabled	apply flags are 0
00582460	parameter:11	disabled	apply flags are 0
0058CF90	parameter:2	disabled	apply flags are 0
005AB300	parameter:1	disabled	apply flags are 0
005B5510	parameter:2	disabled	apply flags are 0
005BD7A0	parameter:1	disabled	apply flags are 0
005DFA30	parameter:2	disabled	apply flags are 0
005F05A0	parameter:2	disabled	apply flags are 0
005F15F0	parameter:3	disabled	apply flags are 0
005F15F0	parameter:4	disabled	apply flags are 0
005F15F0	parameter:5	disabled	apply flags are 0
005F23D0	parameter:1	disabled	apply flags are 0
005F23D0	parameter:3	disabled	apply flags are 0
005F23D0	parameter:5	disabled	apply flags are 0
005F23D0	parameter:6	disabled	apply flags are 0
005F3940	parameter:2	disabled	apply flags are 0
006028A0	parameter:2	disabled	apply flags are 0
00606050	parameter:9	disabled	apply flags are 0
00608B50	parameter:9	disabled	apply flags are 0
0060EA30	parameter:1	disabled	apply flags are 0
00614C80	parameter:8	disabled	apply flags are 0
00614C80	parameter:10	disabled	apply flags are 0
00618B40	parameter:2	disabled	apply flags are 0
006191A0	parameter:2	disabled	apply flags are 0
0061FB70	parameter:4	disabled	apply flags are 0
00620160	parameter:3	disabled	apply flags are 0
00620520	parameter:4	disabled	apply flags are 0
006208B0	parameter:2	disabled	apply flags are 0
006208B0	parameter:3	disabled	apply flags are 0
00620C50	parameter:4	disabled	apply flags are 0
00620DA0	parameter:2	disabled	apply flags are 0
00621090	parameter:4	disabled	apply flags are 0
00621430	parameter:4	disabled	apply flags are 0
006226C0	parameter:2	disabled	apply flags are 0
00629F90	parameter:2	disabled	apply flags are 0
0062DFD0	parameter:2	disabled	apply flags are 0
0062E170	parameter:4	disabled	apply flags are 0
0062FEA0	parameter:2	disabled	apply flags are 0
00630BB0	parameter:6	disabled	apply flags are 0
00635BF0	parameter:1	disabled	apply flags are 0
00635BF0	parameter:2	disabled	apply flags are 0
00635DA0	parameter:1	disabled	apply flags are 0
00635DA0	parameter:2	disabled	apply flags are 0
00639500	parameter:1	disabled	apply flags are 0
0063C030	parameter:1	disabled	apply flags are 0
00645420	return:	disabled	apply flags are 0
00647EF0	return:	disabled	apply flags are 0
0065D4B0	return:	disabled	apply flags are 0
0065E9A0	parameter:6	disabled	apply flags are 0
0065EB70	parameter:7	disabled	apply flags are 0
00660540	parameter:5	disabled	apply flags are 0
00660620	parameter:1	disabled	apply flags are 0
00660F70	parameter:2	disabled	apply flags are 0
006777D0	parameter:1	disabled	apply flags are 0
006777D0	parameter:2	disabled	apply flags are 0
006778C0	parameter:1	disabled	apply flags are 0
006778C0	parameter:2	disabled	apply flags are 0
00678BE0	return:	disabled	apply flags are 0
0067CF30	parameter:1	disabled	apply flags are 0
00680550	parameter:0	disabled	apply flags are 0
0068E050	return:	disabled	apply flags are 0
0068FD00	parameter:1	disabled	apply flags are 0
00690E90	parameter:1	disabled	apply flags are 0
00690E90	parameter:2	disabled	apply flags are 0
00691480	parameter:0	disabled	apply flags are 0
00692C10	parameter:2	disabled	apply flags are 0
00695C10	parameter:4	disabled	apply flags are 0
006B0BA0	parameter:0	disabled	apply flags are 0
006B5110	parameter:0	disabled	apply flags are 0
006B8F10	parameter:0	disabled	apply flags are 0
006B9940	parameter:2	disabled	apply flags are 0
006BA9E0	parameter:5	disabled	apply flags are 0
006BC3E0	parameter:1	disabled	apply flags are 0
006C1530	parameter:0	disabled	apply flags are 0
006C1CE0	parameter:1	disabled	apply flags are 0
006C5210	parameter:0	disabled	apply flags are 0
006C52E0	parameter:0	disabled	apply flags are 0
006D26D0	parameter:1	disabled	apply flags are 0
006D3300	parameter:1	disabled	apply flags are 0
006D7830	parameter:5	disabled	apply flags are 0
006D86E0	parameter:2	disabled	apply flags are 0
006E2970	parameter:3	disabled	apply flags are 0
006E6200	parameter:5	disabled	apply flags are 0
006E6460	parameter:3	disabled	apply flags are 0
006E6460	parameter:4	disabled	apply flags are 0
006E6540	parameter:1	disabled	apply flags are 0
006E6630	parameter:4	disabled	apply flags are 0
006E8660	parameter:8	disabled	apply flags are 0
006E89B0	parameter:5	disabled	apply flags are 0
006EFC50	parameter:4	disabled	apply flags are 0
006F1910	parameter:1	disabled	apply flags are 0
007192D0	parameter:0	disabled	apply flags are 0
0074E337	parameter:1	disabled	apply flags are 0
00753300	parameter:2	disabled	apply flags are 0
00753F10	parameter:1	disabled	apply flags are 0
0075E7D0	parameter:0	disabled	apply flags are 0
0075EC80	parameter:0	disabled	apply flags are 0
