apply	function_address	function_name	original_name	merge_group	merge_group_count	expected_current_type	expected_symbol_source	proposed_type	anchor_kind	anchor_address	anchor_time	anchor_operand	direct_target_address	resolved_target_address	anchor_source	evidence_count	confidence	reason
0	0040EB90	FUN_0040eb90	uVar8	0	2	/uint	DEFAULT	/int	signed_scalar_role	0040EFC8	1702	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	0040EB90	FUN_0040eb90	uVar8	1	2	/uint	DEFAULT	/int	signed_scalar_role	0040EEC4	1309	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	0040F840	FUN_0040f840	uVar8	1	2	/uint	DEFAULT	/int	signed_scalar_role	0040FA9B	1052	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	0040F840	FUN_0040f840	uVar9	1	2	/uint	DEFAULT	/int	signed_scalar_role	0040FAB4	1118	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00413AF0	FUN_00413af0	uVar14	1	2	/uint	DEFAULT		signed_scalar_role	00413BAF	226	-1			INT_SRIGHT	2	conflict	incompatible exact lifetime types=[/int, /uint]
0	00414A70	FUN_00414a70	uVar8	0	2	/uint	DEFAULT	/int	signed_scalar_role	00414D75	1721	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00414A70	FUN_00414a70	uVar8	1	2	/uint	DEFAULT	/int	signed_scalar_role	00414E20	1646	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00416400	FUN_00416400	uVar7	0	3	/uint	DEFAULT	/int	signed_scalar_role	0041650E	378	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00416400	FUN_00416400	uVar7	1	3	/uint	DEFAULT	/int	signed_scalar_role	00416522	417	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00416400	FUN_00416400	uVar7	2	3	/uint	DEFAULT	/int	signed_scalar_role	00416533	453	-1			INT_SRIGHT	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
