sequence	script	status	duration_ms	argument	detail
1	STEvidenceLedger.java	completed	4828	fingerprint | <repo>/recovery	-
2	STAbiRegressionGate.java	completed	2047	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | startup | 27b2e1eb234982f047ed62f60bc77e1a7bde68397a9bbe5e0b2e1686a4b2fed8	-
3	STTypeBootstrapAnalyzer.java	completed	10360	<repo>/recovery	-
4	STTypeBootstrapApplier.java	completed	24	<repo>/recovery/ST.exe/type_bootstrap_proposals.tsv	recovery_state: proposals_enabled=3, proposals_review=1, changed=0, unchanged=3, review=1, conflict=0, error=0
5	STDebugSymbolAnalyzer.java	completed	574	<repo>/recovery	-
6	STDebugSymbolApplier.java	completed	33	<repo>/recovery/ST.exe/proposals.tsv	-
7	STCallsiteConventionAnalyzer.java	completed	142	<repo>/recovery/ST.exe/debug_calling_convention_review.tsv	-
8	STCallsiteConventionApplier.java	completed	17	<repo>/recovery/ST.exe/callsite_convention_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=81, changed=0, unchanged=0, review=81, conflict=0, error=0
9	STMessageIdAnalyzer.java	completed	866	<repo>/recovery	-
10	STMessageIdApplier.java	completed	18	<repo>/recovery/ST.exe/message_id_proposals.tsv	-
11	STMessageHandlerAnalyzer.java	completed	574	<repo>/recovery	-
12	STMessageHandlerApplier.java	completed	20	<repo>/recovery/ST.exe/message_handler_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=106, changed=0, unchanged=0, review=106, conflict=0, error=0
13	STUnclaimedCodeAnalyzer.java	completed	820	<repo>/recovery	-
14	STUnclaimedCodeApplier.java	completed	20	<repo>/recovery/ST.exe/unclaimed_code_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=166, changed=0, unchanged=0, review=166, conflict=0, error=0
15	STMessageHandlerAnalyzer.java	completed	550	<repo>/recovery	-
16	STMessageHandlerApplier.java	completed	18	<repo>/recovery/ST.exe/message_handler_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=106, changed=0, unchanged=0, review=106, conflict=0, error=0
17	STObjectFactoryAnalyzer.java	completed	346	<repo>/recovery	-
18	STObjectFactoryApplier.java	completed	28	<repo>/recovery/ST.exe/object_factory_proposals.tsv	recovery_state: proposals_enabled=94, proposals_review=2, changed=0, unchanged=96, review=2, conflict=0, error=0
19	STVTableAnalyzer.java	completed	445	<repo>/recovery	-
20	STVTableApplier.java	completed	118	<repo>/recovery/ST.exe/vtable_proposals.tsv	recovery_state: proposals_enabled=158, proposals_review=22, changed=0, unchanged=206, review=30, conflict=0, error=0
21	STVirtualMethodAnalyzer.java	completed	100	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
22	STVirtualMethodApplier.java	completed	28	<repo>/recovery/ST.exe/virtual_method_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=365, changed=0, unchanged=0, review=365, conflict=0, error=0
23	STConstructorAnalyzer.java	completed	83	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
24	STConstructorApplier.java	completed	34	<repo>/recovery/ST.exe/constructor_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=57, changed=0, unchanged=0, review=57, conflict=0, error=0
25	STClassArrayAnalyzer.java	completed	3599	<repo>/recovery	-
26	STInlineAggregateAnalyzer.java	completed	2985	<repo>/recovery	-
27	STClassLayoutAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
28	STClassLayoutApplier.java	completed	105	<repo>/recovery/ST.exe/class_layout_proposals.tsv	recovery_state: proposals_enabled=112, proposals_review=33, changed=0, unchanged=112, review=185, conflict=0, error=0
29	STDArrayElementAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
30	STDArrayElementApplier.java	completed	248	<repo>/recovery/ST.exe/darray_element_proposals.tsv | types-only-cleanup	recovery_state: proposals_enabled=22, proposals_review=28, changed=0, unchanged=21, review=28, conflict=2, error=0
31	STAbiRegressionGate.java	completed	1823	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | core-final | 	-
