sequence	script	status	duration_ms	argument	detail
1	STEvidenceLedger.java	completed	7231	fingerprint | <repo>/recovery	-
2	STAbiRegressionGate.java	completed	2075	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | startup | 27b2e1eb234982f047ed62f60bc77e1a7bde68397a9bbe5e0b2e1686a4b2fed8	-
3	STTypeBootstrapAnalyzer.java	completed	10659	<repo>/recovery	-
4	STTypeBootstrapApplier.java	completed	23	<repo>/recovery/ST.exe/type_bootstrap_proposals.tsv	recovery_state: proposals_enabled=3, proposals_review=1, changed=0, unchanged=3, review=1, conflict=0, error=0
5	STDebugSymbolAnalyzer.java	completed	827	<repo>/recovery	-
6	STDebugSymbolApplier.java	completed	39	<repo>/recovery/ST.exe/proposals.tsv	-
7	STCallsiteConventionAnalyzer.java	completed	216	<repo>/recovery/ST.exe/debug_calling_convention_review.tsv	-
8	STCallsiteConventionApplier.java	completed	20	<repo>/recovery/ST.exe/callsite_convention_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=81, changed=0, unchanged=0, review=81, conflict=0, error=0
9	STMessageIdAnalyzer.java	completed	800	<repo>/recovery	-
10	STMessageIdApplier.java	completed	18	<repo>/recovery/ST.exe/message_id_proposals.tsv	-
11	STMessageHandlerAnalyzer.java	completed	605	<repo>/recovery	-
12	STMessageHandlerApplier.java	completed	25	<repo>/recovery/ST.exe/message_handler_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=106, changed=0, unchanged=0, review=106, conflict=0, error=0
13	STUnclaimedCodeAnalyzer.java	completed	920	<repo>/recovery	-
14	STUnclaimedCodeApplier.java	completed	22	<repo>/recovery/ST.exe/unclaimed_code_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=166, changed=0, unchanged=0, review=166, conflict=0, error=0
15	STMessageHandlerAnalyzer.java	completed	575	<repo>/recovery	-
16	STMessageHandlerApplier.java	completed	16	<repo>/recovery/ST.exe/message_handler_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=106, changed=0, unchanged=0, review=106, conflict=0, error=0
17	STObjectFactoryAnalyzer.java	completed	204	<repo>/recovery	-
18	STObjectFactoryApplier.java	completed	26	<repo>/recovery/ST.exe/object_factory_proposals.tsv	recovery_state: proposals_enabled=94, proposals_review=2, changed=0, unchanged=96, review=2, conflict=0, error=0
19	STVTableAnalyzer.java	completed	397	<repo>/recovery	-
20	STVTableApplier.java	completed	129	<repo>/recovery/ST.exe/vtable_proposals.tsv	recovery_state: proposals_enabled=158, proposals_review=22, changed=0, unchanged=206, review=30, conflict=0, error=0
21	STVirtualMethodAnalyzer.java	completed	75	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
22	STVirtualMethodApplier.java	completed	20	<repo>/recovery/ST.exe/virtual_method_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=365, changed=0, unchanged=0, review=365, conflict=0, error=0
23	STConstructorAnalyzer.java	completed	62	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
