name_apply	convention_apply	parameter_apply	function_address	expected_name	expected_name_source	expected_signature	expected_signature_source	owner	proposed_name	table_address	store_address	returns_this	incoming_edx_uses	incoming_stack_parameter_uses	confidence	reason
0	0	0	004232A0	STGroupBoatC::sub_004232A0	ANALYSIS	STGroupBoatC * __thiscall sub_004232A0(STGroupBoatC * this)	ANALYSIS	STGroupC	STGroupC::STGroupC	00790508	004232AA	true	0	0	medium	final_vptr=00790508; returns_this=true; calls_before=1; field_writes_after=7; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
0	0	0	0044E690	STBoatC::STBoatC	ANALYSIS	STBoatC * __thiscall STBoatC(STBoatC * this)	ANALYSIS	STBoatC	STBoatC::STBoatC	007905A0	0044E6B9	true	0	0	high	final_vptr=007905A0; returns_this=true; calls_before=2; field_writes_after=40; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00497AF0	STGroupBoatC::STGroupBoatC	ANALYSIS	STGroupBoatC * __thiscall STGroupBoatC(STGroupBoatC * this)	ANALYSIS	STGroupBoatC	STGroupBoatC::STGroupBoatC	00790728	00497B05	true	0	0	high	final_vptr=00790728; returns_this=true; calls_before=1; field_writes_after=47; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	004B7EF0	TLOBaseTy::TLOBaseTy	ANALYSIS	TLOBaseTy * __thiscall TLOBaseTy(TLOBaseTy * this)	ANALYSIS	TLOBaseTy	TLOBaseTy::TLOBaseTy	00790AA0	004B7F47	true	0	0	high	final_vptr=00790AA0; returns_this=true; calls_before=2; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	004D0920	TLOFakeTy::TLOFakeTy	ANALYSIS	TLOFakeTy * __thiscall TLOFakeTy(TLOFakeTy * this)	ANALYSIS	TLOFakeTy	TLOFakeTy::TLOFakeTy	00797560	004D093C	true	0	0	high	final_vptr=00797560; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00510C80	FUN_00510c80	DEFAULT	undefined4 * __fastcall FUN_00510c80(undefined4 * param_1)	ANALYSIS	HelpPanelTy	HelpPanelTy::HelpPanelTy	0079AC48	00510CB9	true	0	0	medium	final_vptr=0079AC48; returns_this=true; calls_before=1; field_writes_after=38; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
0	0	0	00542440	InterSystemC::InterSystemC	ANALYSIS	InterSystemC * __thiscall InterSystemC(InterSystemC * this, AppClassTy * param_1)	ANALYSIS	InterSystemC	InterSystemC::InterSystemC	0079ADB8	00542453	true	0	1	high	final_vptr=0079ADB8; returns_this=true; calls_before=1; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	0054CB40	STPlaySystemC::STPlaySystemC	ANALYSIS	undefined4 * __thiscall STPlaySystemC(STPlaySystemC * this, AppClassTy * param_1)	ANALYSIS	STPlaySystemC	STPlaySystemC::STPlaySystemC	0079AE38	0054CB53	true	0	1	high	final_vptr=0079AE38; returns_this=true; calls_before=1; field_writes_after=7; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	0055BD40	FUN_0055bd40	DEFAULT	CFsgsConnection * __thiscall FUN_0055bd40(void * this, byte param_1)	ANALYSIS	CFsgsConnection	CFsgsConnection::CFsgsConnection	0079AEFC	0055BD46	true	0	1	medium	final_vptr=0079AEFC; returns_this=true; calls_before=0; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high
0	0	0	0056A5F0	STAppC::STAppC	ANALYSIS	undefined4 * __thiscall STAppC(STAppC * this, undefined4 param_1)	ANALYSIS	STAppC	STAppC::STAppC	0079B0A8	0056A67D	true	0	1	high	final_vptr=0079B0A8; returns_this=true; calls_before=2; field_writes_after=38; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
