apply	function_address	function_name	parameter_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	shape_id	confidence	reason
0	00419BF0	FUN_00419bf0	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00419BF0_P0	CallableReceiver_00419BF0_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=246
0	0041CF50	FUN_0041cf50	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041CF50_01071190	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041CF50_P0	CallableReceiver_0041CF50_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=263
0	0041D100	FUN_0041d100	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041D100_A90F7B7E	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D100_P0	CallableReceiver_0041D100_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=267
0	0041D4F0	FUN_0041d4f0	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041D4F0_1597DF6B	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D4F0_P0	CallableReceiver_0041D4F0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=275
0	0041F630	FUN_0041f630	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041F630_B1BEE81C	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041F630_P0	CallableReceiver_0041F630_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=555
0	00435930	STAllPlayersC::GetCursorType	2	param_2	Stack[0x8]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00435930_AC276C8C	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00435930_P2	CallableReceiver_00435930_P2	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=1; exact_extent=38
0	00440860	STAllPlayersC::_ChangeMD	2	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440860_P2	CallableReceiver_00440860_P2	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; parameter storage is overwritten and has multiple compiler lifetimes; sites=2; slots=2; exact_extent=4
0	00440990	STAllPlayersC::_ChangeDock	1	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440990_P1	CallableReceiver_00440990_P1	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; parameter storage is overwritten and has multiple compiler lifetimes; sites=2; slots=2; exact_extent=4
0	00449B60	STAllPlayersC::DestroyObjectMsg	1	param_1	Stack[0x4]:1	/char	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00449B60_P1	CallableReceiver_00449B60_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=26
0	00474810	STBoatC::BackLoadObj	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00474810_P1	CallableReceiver_00474810_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=26
